stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
"BUFFING HARD WHEEL 8""",742,"1,000",869,157,"1,16,442","1,57,000","1,36,433",PINCH
"TAP 3/4"" BSW SET",82,30,93,733,"59,863","21,991","68,171",PINCH
"FLAP DISK 4"" G120 BEAR PREMIUM GNL","1,433","1,500","2,040",27,"39,361","41,191","56,020",PINCH
EMERY BELT 150 X 1220 G120 ALKON PREMIUM GNL,280,120,335,137,"38,390","16,453","45,931",PINCH
AG-4 (6mm) XPERT QUICK CUT GNL,915,500,"1,252",28,"26,049","14,235","35,644",PINCH
TAP 6 X 1 SEC,366,600,660,51,"18,759","30,780","33,858",PINCH
BIMETAL BANDSAW 4800 X 27 X .9 3 TPI WIKUS,12,50,21,"1,357","15,832","67,850","28,497",PINCH
HSS DRILL 4 MIRANDA,687,400,"1,030",27,"18,776","10,927","28,137",PINCH
HSS DRILL 8 MIRANDA,159,100,255,109,"17,355","10,927","27,863",PINCH
HSS DRILL 3 MIRANDA,854,300,"1,363",15,"13,043","4,584","20,825",PINCH
HSS DRILL 13 MIRANDA,41,40,69,293,"11,977","11,732","20,238",PINCH
HSS DRILL 5.1 MIRANDA,227,300,423,47,"10,749","14,237","20,075",PINCH
HSS DRILL 14 MIRANDA,21,10,43,421,"8,707","4,213","18,117",PINCH
TAP 30 X 3.5 SET,7,2,7,"2,563","16,661","5,127","17,943",PINCH
"STEELGRIP TAPE 3/4"" BLACK","4,105","6,240","2,613",7,"27,582","41,933","17,559",PINCH
HSS T/S DRILL 14 MIRANDA,13,20,25,630,"7,872","12,595","15,744",PINCH
HSS DRILL 10.2 MIRANDA,41,50,86,181,"7,402","9,063","15,589",PINCH
HSS CENTRE DRILL R 4 X 10 ADDISON,26,35,46,316,"8,266","11,057","14,531",PINCH
MS WELDING ROD NO 10 13S (2.43 KG) SUPERON,94,90,60,234,"21,958","21,024","14,016",PINCH
HSS DRILL 10.5 MIRANDA,92,100,69,197,"18,047","19,724","13,609",PINCH
FEVIKWIK 203 20 GRM PIDILITE,315,100,311,41,"12,901","4,100","12,751",PINCH
RING SPANNER SET 1812 TAPARIA,5,10,10,"1,170","5,655","11,700","11,700",PINCH
