stock_item_name,transcription,attribution,action,db_price_per_piece,pdf_price_per_piece,v2_price_per_piece,db_list_rate,v2_list_rate,page_no,thread_form,size,grade,pack_qty,confidence,reason
CARBON TAP 3 X .5 SET TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,390.00,390,,1170.00,,4,Metric Coarse,3.0 X 0.50,Standard,3,review,item absent from this project's stock_items
"CARBON TAP 3/8"" BSP BOT TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,1501.00,1501,,1501.00,,3,BSP,3/8,Standard,1,review,item absent from this project's stock_items
CARBON TAP 5 X .8 TPR TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,419.00,419,,419.00,,4,Metric Coarse,5.0 X 0.80,Standard,1,review,item absent from this project's stock_items
"CARBON TAP 5/32"" BSW BOT TOTEM",OK,WRONG_FAMILY_OR_ABSENT,DROP,407.00,407,,407.00,,3,BSW/BSF,5/32,Standard,1,review,item absent from this project's stock_items
HSS  LH TAP 27 X 3 BOT TOTEM,OK,OK,KEEP,4795.00,4795,4795.00,6473.25,6473.25,4,Metric Coarse,27.0 X 3.00,Standard,1,verified,
"HSS LH TAP 1"" UNC BOT TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,4889.70,4889.70,3,UNF/UNC,"1""",Standard,1,review,
"HSS LH TAP 1"" UNC TPR TOTEM",OK,OK,KEEP,3622.00,3622,3622.00,4889.70,4889.70,3,UNF/UNC,"1""",Standard,1,review,
"HSS LH TAP 1-1/4"" UNC BOT TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,7917.75,7917.75,3,UNF/UNC,"1.1/4""",Standard,1,review,
"HSS LH TAP 1-1/4"" UNC SEC TOTEM",OK,OK,KEEP,5865.00,5865,5865.00,7917.75,7917.75,3,UNF/UNC,"1.1/4""",Standard,1,review,
HSS LH TAP 10 X 1 BOT TOTEM,OK,OK,KEEP,678.00,678,678.00,915.30,915.30,5,Metric Coarse,10.0 X 1.00/1.25,Standard,1,verified,
HSS LH TAP 10 X 1.5 BOT TOTEM,OK,OK,KEEP,609.00,609,609.00,822.15,822.15,4,Metric Coarse,10.0 X 1.50,Standard,1,verified,
HSS LH TAP 10 X 1.5 SEC TOTEM,OK,OK,KEEP,609.00,609,609.00,822.15,822.15,4,Metric Coarse,10.0 X 1.50,Standard,1,verified,
HSS LH TAP 10 X 1.5 SET TOTEM,OK,OK,KEEP,609.00,609,609.00,2466.45,2466.45,4,Metric Coarse,10.0 X 1.50,Standard,3,verified,
HSS LH TAP 10 X 1.5 SPPT TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,747.00,747,,1008.45,,4,Metric Coarse,10.0 X 1.50,SPPT,1,review,item absent from this project's stock_items
HSS LH TAP 10 X 1.5 TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,609.00,609,,822.15,,4,Metric Coarse,10.0 X 1.50,Standard,1,review,item absent from this project's stock_items
HSS LH TAP 10 X 1.5 TPR TOTEM,OK,OK,KEEP,609.00,609,609.00,822.15,822.15,4,Metric Coarse,10.0 X 1.50,Standard,1,review,
HSS LH TAP 12 X 1.25 BOT TOTEM,,OK,ADD,,,1111.00,,1499.85,5,Metric Coarse,12.0 X 1.00*/1.25/1.50,Standard,1,verified,matched by v2; not previously seeded
HSS LH TAP 12 X 1.25 SET TOTEM,,OK,ADD,,,1111.00,,4499.55,5,Metric Coarse,12.0 X 1.00*/1.25/1.50,Standard,3,review,matched by v2; not previously seeded
HSS LH TAP 12 X 1.5 BOT TOTEM,,OK,ADD,,,1111.00,,1499.85,5,Metric Coarse,12.0 X 1.00*/1.25/1.50,Standard,1,verified,matched by v2; not previously seeded
HSS LH TAP 12 X 1.75 BOT TOTEM,OK,OK,KEEP,947.00,947,947.00,1278.45,1278.45,4,Metric Coarse,12.0 X 1.75,Standard,1,verified,
HSS LH TAP 12 X 1.75 SEC TOTEM,OK,OK,KEEP,947.00,947,947.00,1278.45,1278.45,4,Metric Coarse,12.0 X 1.75,Standard,1,verified,
HSS LH TAP 12 X 1.75 SET TOTEM,OK,OK,KEEP,947.00,947,947.00,3835.35,3835.35,4,Metric Coarse,12.0 X 1.75,Standard,3,verified,
HSS LH TAP 12 X 1.75 TPR TOTEM,OK,OK,KEEP,947.00,947,947.00,1278.45,1278.45,4,Metric Coarse,12.0 X 1.75,Standard,1,review,
HSS LH TAP 14 X 1.5 BOT TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1864.35,1864.35,5,Metric Coarse,14.0 X 1.50,Standard,1,verified,
HSS LH TAP 14 X 1.5 TPR TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1864.35,1864.35,5,Metric Coarse,14.0 X 1.50,Standard,1,review,
HSS LH TAP 14 X 2 BOT TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1860.30,1860.30,4,Metric Coarse,14.0 X 2.00,Standard,1,verified,
HSS LH TAP 16 X 1.5 BOT TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1864.35,1864.35,5,Metric Coarse,16.0 X 1.50,Standard,1,verified,
HSS LH TAP 16 X 1.5 TPR TOTEM,OK,OK,KEEP,1381.00,1381,1381.00,1864.35,1864.35,5,Metric Coarse,16.0 X 1.50,Standard,1,review,
HSS LH TAP 16 X 2 BOT TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1860.30,1860.30,4,Metric Coarse,16.0 X 2.00,Standard,1,verified,
HSS LH TAP 16 X 2 SEC TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1860.30,1860.30,4,Metric Coarse,16.0 X 2.00,Standard,1,verified,
HSS LH TAP 16 X 2 SET TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,5580.90,5580.90,4,Metric Coarse,16.0 X 2.00,Standard,3,verified,
HSS LH TAP 16 X 2 TPR TOTEM,OK,WRONG_FAMILY_OR_ABSENT,DROP,1378.00,1378,,1860.30,,4,Metric Coarse,16.0 X 2.00,Standard,1,review,item absent from this project's stock_items
HSS LH TAP 16X2 TPR TOTEM,OK,OK,KEEP,1378.00,1378,1378.00,1860.30,1860.30,4,Metric Coarse,16.0 X 2.00,Standard,1,verified,
HSS LH TAP 18 X 1.5 BOT TOTEM,OK,OK,KEEP,2367.00,2367,2367.00,3195.45,3195.45,5,Metric Coarse,18.0 X 1.50,Standard,1,verified,
HSS LH TAP 18 X 2.5 BOT TOTEM,OK,OK,KEEP,2080.00,2080,2080.00,2808.00,2808.00,4,Metric Coarse,18.0 X 2.50,Standard,1,review,
