stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
CARBON TAP 3 X .5 SET TOTEM,1170.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,3.0,Metric Coarse,3.0 X 0.50,Standard,,review,,2026-08-10T16:28:56.058382+00:00
"CARBON TAP 3/8"" BSP BOT TOTEM",1501.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1501.0,1.0,BSP,3/8,Standard,,review,,2026-08-10T16:28:56.058382+00:00
CARBON TAP 5 X .8 TPR TOTEM,419.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,5.0 X 0.80,Standard,,review,,2026-08-10T16:28:56.058382+00:00
"CARBON TAP 5/32"" BSW BOT TOTEM",407.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,407.0,1.0,BSW/BSF,5/32,Standard,,review,,2026-08-10T16:28:56.058382+00:00
HSS  LH TAP 27 X 3 BOT TOTEM,6473.25,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.0,1.0,Metric Coarse,27.0 X 3.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1-1/4"" UNC BOT TOTEM",7917.75,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.0,1.0,UNF/UNC,"1.1/4""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1-1/4"" UNC SEC TOTEM",7917.75,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.0,1.0,UNF/UNC,"1.1/4""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1"" UNC BOT TOTEM",4889.7,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.0,1.0,UNF/UNC,"1""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1"" UNC TPR TOTEM",4889.7,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.0,1.0,UNF/UNC,"1""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 10 X 1 BOT TOTEM,915.3,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,678.0,1.0,Metric Coarse,10.0 X 1.00/1.25,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
