page_no,series,standard,thread_form,size,size_system,pitch_or_tpi,grade,edp_code,price_per_piece,moq_flag,source_note
12,TOTEM Silver Cut,,metric,M2,metric,0.4,SA1 (BRIGHT),FAB0208213,1112,,
12,TOTEM Silver Cut,,metric,M2,metric,0.4,SA3 (TIN),FAB0205713,1181,,
12,TOTEM Silver Cut,,metric,M2,metric,0.4,SA4 (TIALN),FAB0208215,1220,,
12,TOTEM Silver Cut,,metric,M2,metric,0.4,SAF3 (TIN),FAB0208217,1181,,
12,TOTEM Silver Cut,,metric,M2,metric,0.4,SAF5 (TICN),FAB0208219,1220,,
12,TOTEM Silver Cut,,metric,M2.5,metric,0.45,SA1 (BRIGHT),FAB0208214,1112,,
12,TOTEM Silver Cut,,metric,M2.5,metric,0.45,SA3 (TIN),FAB0207639,1181,,
12,TOTEM Silver Cut,,metric,M2.5,metric,0.45,SA4 (TIALN),FAB0208216,1220,,
12,TOTEM Silver Cut,,metric,M2.5,metric,0.45,SAF3 (TIN),FAB0208218,1181,,
12,TOTEM Silver Cut,,metric,M2.5,metric,0.45,SAF5 (TICN),FAB0208220,1220,,
12,TOTEM Silver Cut,,metric,M3,metric,0.5,SA1 (BRIGHT),FAB0203112,693,,
12,TOTEM Silver Cut,,metric,M3,metric,0.5,SA3 (TIN),FAB0203123,776,,
12,TOTEM Silver Cut,,metric,M3,metric,0.5,SA4 (TIALN),FAB0204205,921,,
12,TOTEM Silver Cut,,metric,M3,metric,0.5,SAF3 (TIN),FAB0204217,776,,
12,TOTEM Silver Cut,,metric,M3,metric,0.5,SAF5 (TICN),FAB0204229,921,,
12,TOTEM Silver Cut,,metric,M3.5,metric,0.6,SA1 (BRIGHT),FAB0203113,693,,
12,TOTEM Silver Cut,,metric,M3.5,metric,0.6,SA3 (TIN),FAB0203124,776,,
12,TOTEM Silver Cut,,metric,M3.5,metric,0.6,SA4 (TIALN),FAB0204206,921,,
12,TOTEM Silver Cut,,metric,M3.5,metric,0.6,SAF3 (TIN),FAB0204218,776,,
12,TOTEM Silver Cut,,metric,M3.5,metric,0.6,SAF5 (TICN),FAB0204230,921,,
12,TOTEM Silver Cut,,metric,M4,metric,0.7,SA1 (BRIGHT),FAB0203114,693,,
12,TOTEM Silver Cut,,metric,M4,metric,0.7,SA3 (TIN),FAB0203125,776,,
12,TOTEM Silver Cut,,metric,M4,metric,0.7,SA4 (TIALN),FAB0204207,921,,
12,TOTEM Silver Cut,,metric,M4,metric,0.7,SAF3 (TIN),FAB0204219,776,,
12,TOTEM Silver Cut,,metric,M4,metric,0.7,SAF5 (TICN),FAB0204231,921,,
12,TOTEM Silver Cut,DIN 371,metric,M5,metric,0.8,SA1 (BRIGHT),FAB0203115,725,,
12,TOTEM Silver Cut,DIN 371,metric,M5,metric,0.8,SA3 (TIN),FAB0203126,813,,
12,TOTEM Silver Cut,DIN 371,metric,M5,metric,0.8,SA4 (TIALN),FAB0204208,963,,
12,TOTEM Silver Cut,DIN 371,metric,M5,metric,0.8,SAF3 (TIN),FAB0204220,813,,
12,TOTEM Silver Cut,DIN 371,metric,M5,metric,0.8,SAF5 (TICN),FAB0204232,963,,
12,TOTEM Silver Cut,DIN 371,metric,M6,metric,1,SA1 (BRIGHT),FAB0203116,725,,
12,TOTEM Silver Cut,DIN 371,metric,M6,metric,1,SA3 (TIN),FAB0203127,813,,
12,TOTEM Silver Cut,DIN 371,metric,M6,metric,1,SA4 (TIALN),FAB0204209,963,,
12,TOTEM Silver Cut,DIN 371,metric,M6,metric,1,SAF3 (TIN),FAB0204221,813,,
12,TOTEM Silver Cut,DIN 371,metric,M6,metric,1,SAF5 (TICN),FAB0204233,963,,
12,TOTEM Silver Cut,DIN 371,metric,M7,metric,1,SA1 (BRIGHT),FAB0203117,814,,
12,TOTEM Silver Cut,DIN 371,metric,M7,metric,1,SA3 (TIN),FAB0203128,912,,
12,TOTEM Silver Cut,DIN 371,metric,M7,metric,1,SA4 (TIALN),FAB0208221,1074,,
12,TOTEM Silver Cut,DIN 371,metric,M7,metric,1,SAF3 (TIN),FAB0208222,912,,
12,TOTEM Silver Cut,DIN 371,metric,M7,metric,1,SAF5 (TICN),FAB0208223,1074,,
12,TOTEM Silver Cut,DIN 371,metric,M8,metric,1.25,SA1 (BRIGHT),FAB0203118,814,,
12,TOTEM Silver Cut,DIN 371,metric,M8,metric,1.25,SA3 (TIN),FAB0203129,912,,
12,TOTEM Silver Cut,DIN 371,metric,M8,metric,1.25,SA4 (TIALN),FAB0204210,1074,,
12,TOTEM Silver Cut,DIN 371,metric,M8,metric,1.25,SAF3 (TIN),FAB0204222,912,,
12,TOTEM Silver Cut,DIN 371,metric,M8,metric,1.25,SAF5 (TICN),FAB0204234,1074,,
12,TOTEM Silver Cut,DIN 371,metric,M10,metric,1.5,SA1 (BRIGHT),FAB0203119,1007,,
12,TOTEM Silver Cut,DIN 371,metric,M10,metric,1.5,SA3 (TIN),FAB0203130,1126,,
12,TOTEM Silver Cut,DIN 371,metric,M10,metric,1.5,SA4 (TIALN),FAB0204211,1330,,
12,TOTEM Silver Cut,DIN 371,metric,M10,metric,1.5,SAF3 (TIN),FAB0204223,1126,,
12,TOTEM Silver Cut,DIN 371,metric,M10,metric,1.5,SAF5 (TICN),FAB0204235,1330,,
12,TOTEM Silver Cut,DIN 371,metric,M12,metric,1.75,SA1 (BRIGHT),FAB0203120,1892,,
12,TOTEM Silver Cut,DIN 371,metric,M12,metric,1.75,SA3 (TIN),FAB0203131,2156,,
12,TOTEM Silver Cut,DIN 371,metric,M12,metric,1.75,SA4 (TIALN),FAB0204212,2812,,
12,TOTEM Silver Cut,DIN 371,metric,M12,metric,1.75,SAF3 (TIN),FAB0204224,2156,,
12,TOTEM Silver Cut,DIN 371,metric,M12,metric,1.75,SAF5 (TICN),FAB0204236,2812,,
12,TOTEM Silver Cut,DIN 371,metric,M14,metric,2,SA1 (BRIGHT),FAB0203121,2748,,
12,TOTEM Silver Cut,DIN 371,metric,M14,metric,2,SA3 (TIN),FAB0203132,3077,,
12,TOTEM Silver Cut,DIN 371,metric,M14,metric,2,SA4 (TIALN),FAB0204213,3623,,
12,TOTEM Silver Cut,DIN 371,metric,M14,metric,2,SAF3 (TIN),FAB0204225,3077,,
12,TOTEM Silver Cut,DIN 371,metric,M14,metric,2,SAF5 (TICN),FAB0204237,3623,,
12,TOTEM Silver Cut,DIN 371,metric,M16,metric,2,SA1 (BRIGHT),FAB0203122,2748,,
12,TOTEM Silver Cut,DIN 371,metric,M16,metric,2,SA3 (TIN),FAB0203133,3077,,
12,TOTEM Silver Cut,DIN 371,metric,M16,metric,2,SA4 (TIALN),FAB0204214,3623,,
12,TOTEM Silver Cut,DIN 371,metric,M16,metric,2,SAF3 (TIN),FAB0204226,3077,,
12,TOTEM Silver Cut,DIN 371,metric,M16,metric,2,SAF5 (TICN),FAB0204238,3623,,
12,TOTEM Silver Cut,DIN 371,metric,M18,metric,2.5,SA1 (BRIGHT),FAB0204201,4347,,
12,TOTEM Silver Cut,DIN 371,metric,M18,metric,2.5,SA3 (TIN),FAB0204203,4775,,
12,TOTEM Silver Cut,DIN 371,metric,M18,metric,2.5,SA4 (TIALN),FAB0204215,4990,,
12,TOTEM Silver Cut,DIN 371,metric,M18,metric,2.5,SAF3 (TIN),FAB0204227,4775,,
12,TOTEM Silver Cut,DIN 371,metric,M18,metric,2.5,SAF5 (TICN),FAB0204239,4990,,
12,TOTEM Silver Cut,DIN 376,metric,M20,metric,2.5,SA1 (BRIGHT),FAB0204202,5346,,
12,TOTEM Silver Cut,DIN 376,metric,M20,metric,2.5,SA3 (TIN),FAB0204204,5774,,
12,TOTEM Silver Cut,DIN 376,metric,M20,metric,2.5,SA4 (TIALN),FAB0204216,5987,,
12,TOTEM Silver Cut,DIN 376,metric,M20,metric,2.5,SAF3 (TIN),FAB0204228,5774,,
12,TOTEM Silver Cut,DIN 376,metric,M20,metric,2.5,SAF5 (TICN),FAB0204240,5987,,
12,TOTEM Silver Cut,DIN 376,metric,M22,metric,2.5,SA1 (BRIGHT),FAB0204820,5247,,
12,TOTEM Silver Cut,DIN 376,metric,M22,metric,2.5,SA3 (TIN),FAB0207633,5746,,
12,TOTEM Silver Cut,DIN 376,metric,M22,metric,2.5,SA4 (TIALN),FAB0204865,5913,,
12,TOTEM Silver Cut,DIN 376,metric,M22,metric,2.5,SAF3 (TIN),FAB0204901,5746,,
12,TOTEM Silver Cut,DIN 376,metric,M22,metric,2.5,SAF5 (TICN),FAB0204927,5913,,
12,TOTEM Silver Cut,DIN 376,metric,M24,metric,3,SA1 (BRIGHT),FAB0204821,5963,,
12,TOTEM Silver Cut,DIN 376,metric,M24,metric,3,SA3 (TIN),FAB0204185,6461,,
12,TOTEM Silver Cut,DIN 376,metric,M24,metric,3,SA4 (TIALN),FAB0204866,6628,,
12,TOTEM Silver Cut,DIN 376,metric,M24,metric,3,SAF3 (TIN),FAB0207242,6461,,
12,TOTEM Silver Cut,DIN 376,metric,M24,metric,3,SAF5 (TICN),FAB0204928,6628,,
12,TOTEM Silver Cut,DIN 376,metric,M27,metric,3,SA1 (BRIGHT),FAB0208224,8868,,
12,TOTEM Silver Cut,DIN 376,metric,M27,metric,3,SA3 (TIN),FAB0208225,9368,,
12,TOTEM Silver Cut,DIN 376,metric,M27,metric,3,SA4 (TIALN),FAB0208226,9534,,
12,TOTEM Silver Cut,DIN 376,metric,M27,metric,3,SAF3 (TIN),FAB0208227,9368,,
12,TOTEM Silver Cut,DIN 376,metric,M27,metric,3,SAF5 (TICN),FAB0208228,9534,,
12,TOTEM Silver Cut,DIN 376,metric,MF8,metric,1,SA1 (BRIGHT),FAB0204242,1029,,
12,TOTEM Silver Cut,DIN 376,metric,MF8,metric,1,SA3 (TIN),FAB0204253,1174,,
12,TOTEM Silver Cut,DIN 376,metric,MF8,metric,1,SA4 (TIALN),FAB0204264,1720,,
12,TOTEM Silver Cut,DIN 376,metric,MF8,metric,1,SAF3 (TIN),FAB0204544,1174,,
12,TOTEM Silver Cut,DIN 376,metric,MF8,metric,1,SAF5 (TICN),FAB0204550,1720,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1.25,SA1 (BRIGHT),FAB0204243,1364,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1.25,SA3 (TIN),FAB0204254,1554,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1.25,SA4 (TIALN),FAB0204265,2151,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1.25,SAF3 (TIN),FAB0204545,1554,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1.25,SAF5 (TICN),FAB0204551,2151,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1,SA1 (BRIGHT),FAB0204244,1364,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1,SA3 (TIN),FAB0204255,1554,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1,SA4 (TIALN),FAB0204266,2151,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1,SAF3 (TIN),FAB0204903,1554,,
12,TOTEM Silver Cut,DIN 376,metric,MF10,metric,1,SAF5 (TICN),FAB0204929,2151,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.25,SA1 (BRIGHT),FAB0204246,2178,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.25,SA3 (TIN),FAB0204257,2483,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.25,SA4 (TIALN),FAB0204268,3237,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.25,SAF3 (TIN),FAB0204546,2483,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.25,SAF5 (TICN),FAB0204552,3237,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.5,SA1 (BRIGHT),FAB0204245,2178,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.5,SA3 (TIN),FAB0204256,2483,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.5,SA4 (TIALN),FAB0204267,3237,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.5,SAF3 (TIN),FAB0204547,2483,,
12,TOTEM Silver Cut,DIN 376,metric,MF12,metric,1.5,SAF5 (TICN),FAB0204553,3237,,
12,TOTEM Silver Cut,DIN 376,metric,MF14,metric,1.5,SA1 (BRIGHT),FAB0204247,2595,,
12,TOTEM Silver Cut,DIN 376,metric,MF14,metric,1.5,SA3 (TIN),FAB0204258,2958,,
12,TOTEM Silver Cut,DIN 376,metric,MF14,metric,1.5,SA4 (TIALN),FAB0204269,3795,,
12,TOTEM Silver Cut,DIN 376,metric,MF14,metric,1.5,SAF3 (TIN),FAB0204548,2958,,
12,TOTEM Silver Cut,DIN 376,metric,MF14,metric,1.5,SAF5 (TICN),FAB0203818,3795,,
12,TOTEM Silver Cut,DIN 376,metric,MF16,metric,1.5,SA1 (BRIGHT),FAB0204249,2595,,
12,TOTEM Silver Cut,DIN 376,metric,MF16,metric,1.5,SA3 (TIN),FAB0204260,2958,,
12,TOTEM Silver Cut,DIN 376,metric,MF16,metric,1.5,SA4 (TIALN),FAB0204271,3977,,
12,TOTEM Silver Cut,DIN 376,metric,MF16,metric,1.5,SAF3 (TIN),FAB0204549,2958,,
12,TOTEM Silver Cut,DIN 376,metric,MF16,metric,1.5,SAF5 (TICN),FAB0204555,3977,,
12,TOTEM Silver Cut,DIN 374,metric,M18,metric,1.5,SA1 (BRIGHT),FAB0204250,3436,,
12,TOTEM Silver Cut,DIN 374,metric,M18,metric,1.5,SA3 (TIN),FAB0204261,3864,,
12,TOTEM Silver Cut,DIN 374,metric,M18,metric,1.5,SA4 (TIALN),FAB0204272,4079,,
12,TOTEM Silver Cut,DIN 374,metric,M18,metric,1.5,SAF3 (TIN),FAB0204904,3864,,
12,TOTEM Silver Cut,DIN 374,metric,M18,metric,1.5,SAF5 (TICN),FAB0204930,4079,,
12,TOTEM Silver Cut,DIN 374,metric,M20,metric,1.5,SA1 (BRIGHT),FAB0204251,5442,,
12,TOTEM Silver Cut,DIN 374,metric,M20,metric,1.5,SA3 (TIN),FAB0204262,5870,,
12,TOTEM Silver Cut,DIN 374,metric,M20,metric,1.5,SA4 (TIALN),FAB0204273,6084,,
12,TOTEM Silver Cut,DIN 374,metric,M20,metric,1.5,SAF3 (TIN),FAB0204905,5870,,
12,TOTEM Silver Cut,DIN 374,metric,M20,metric,1.5,SAF5 (TICN),FAB0204931,6084,,
12,TOTEM Silver Cut,DIN 374,metric,M22,metric,1.5,SA1 (BRIGHT),FAB0204822,5514,,
12,TOTEM Silver Cut,DIN 374,metric,M22,metric,1.5,SA3 (TIN),FAB0204848,6014,,
12,TOTEM Silver Cut,DIN 374,metric,M22,metric,1.5,SA4 (TIALN),FAB0204867,6180,,
12,TOTEM Silver Cut,DIN 374,metric,M22,metric,1.5,SAF3 (TIN),FAB0204906,6014,,
12,TOTEM Silver Cut,DIN 374,metric,M22,metric,1.5,SAF5 (TICN),FAB0204932,6180,,
12,TOTEM Silver Cut,DIN 374,metric,M24,metric,1.5,SA1 (BRIGHT),FAB0204823,6145,,
12,TOTEM Silver Cut,DIN 374,metric,M24,metric,1.5,SA3 (TIN),FAB0204849,6643,,
12,TOTEM Silver Cut,DIN 374,metric,M24,metric,1.5,SA4 (TIALN),FAB0204868,6810,,
12,TOTEM Silver Cut,DIN 374,metric,M24,metric,1.5,SAF3 (TIN),FAB0204907,6643,,
12,TOTEM Silver Cut,DIN 374,metric,M24,metric,1.5,SAF5 (TICN),FAB0204933,6810,,
12,TOTEM Silver Cut,DIN 374,metric,M27,metric,1.5,SA1 (BRIGHT),FAB0208229,9686,,
12,TOTEM Silver Cut,DIN 374,metric,M27,metric,1.5,SA3 (TIN),FAB0208230,10185,,
12,TOTEM Silver Cut,DIN 374,metric,M27,metric,1.5,SA4 (TIALN),FAB0208231,10351,,
12,TOTEM Silver Cut,DIN 374,metric,M27,metric,1.5,SAF3 (TIN),FAB0208232,10185,,
12,TOTEM Silver Cut,DIN 374,metric,M27,metric,1.5,SAF5 (TICN),FAB0208233,10351,,
12,TOTEM Silver Cut,DIN 374,metric,M30,metric,1.5,SA1 (BRIGHT),FAB0208234,11094,,
12,TOTEM Silver Cut,DIN 374,metric,M30,metric,1.5,SA3 (TIN),FAB0208235,11593,,
12,TOTEM Silver Cut,DIN 374,metric,M30,metric,1.5,SA4 (TIALN),FAB0208236,11759,,
12,TOTEM Silver Cut,DIN 374,metric,M30,metric,1.5,SAF3 (TIN),FAB0208237,11593,,
12,TOTEM Silver Cut,DIN 374,metric,M30,metric,1.5,SAF5 (TICN),FAB0208238,11759,,
12,TOTEM Silver Cut,DIN 374,metric,M33,metric,1.5,SA1 (BRIGHT),FAB0208239,13540,,
12,TOTEM Silver Cut,DIN 374,metric,M33,metric,1.5,SA3 (TIN),FAB0208240,14268,,
12,TOTEM Silver Cut,DIN 374,metric,M33,metric,1.5,SA4 (TIALN),FAB0208241,14705,,
12,TOTEM Silver Cut,DIN 374,metric,M33,metric,1.5,SAF3 (TIN),FAB0208242,14268,,
12,TOTEM Silver Cut,DIN 374,metric,M33,metric,1.5,SAF5 (TICN),FAB0208243,14705,,
13,TOTEM Silver Cut,IS 6175,metric,IS,inch,6175,SA1 (BRIGHT),FAB0208244,1065,,
13,TOTEM Silver Cut,IS 6175,metric,IS,inch,6175,SA3 (TIN),FAB0205713,1130,,
13,TOTEM Silver Cut,IS 6175,metric,IS,inch,6175,SA4 (TIALN),FAB0208246,1173,,
13,TOTEM Silver Cut,IS 6175,metric,IS,inch,6175,SAF3 (TIN),FAB0208248,1130,,
13,TOTEM Silver Cut,IS 6175,metric,IS,inch,6175,SAF5 (TICN),FAB0208250,1173,,
13,TOTEM Silver Cut,IS 6175,metric,Part,inch,I,SA1 (BRIGHT),FAB0208245,1065,,
13,TOTEM Silver Cut,IS 6175,metric,Part,inch,I,SA3 (TIN),FAB0206402,1130,,
13,TOTEM Silver Cut,IS 6175,metric,Part,inch,I,SA4 (TIALN),FAB0208247,1173,,
13,TOTEM Silver Cut,IS 6175,metric,Part,inch,I,SAF3 (TIN),FAB0208249,1130,,
13,TOTEM Silver Cut,IS 6175,metric,Part,inch,I,SAF5 (TICN),FAB0208251,1173,,
13,TOTEM Silver Cut,IS 6175,metric,M3,metric,0.5,SA1 (BRIGHT),FAB0200647,681,,
13,TOTEM Silver Cut,IS 6175,metric,M3,metric,0.5,SA3 (TIN),FAB0200648,774,,
13,TOTEM Silver Cut,IS 6175,metric,M3,metric,0.5,SA4 (TIALN),FAB0203044,802,,
