stock_item_name,reason
HSRC H7 TOTEM,not a tap
HSS CENTRE DRILL A 1.6 X 4 TOTEM,not a tap
HSS CENTRE DRILL A 2 X 5 TOTEM,not a tap
HSS CENTRE DRILL A 2.5 X 6.3 TOTEM,not a tap
HSS CENTRE DRILL A 3.15 X 8 TOTEM,not a tap
HSS CENTRE DRILL A 4 X 10 TOTEM,not a tap
HSS CENTRE DRILL A 5 X 12.5 TOTEM,not a tap
HSS CENTRE DRILL A 6.3 X 16 TOTEM,not a tap
HSS CENTRE DRILL B 2.5 X 10 TOTEM,not a tap
HSS CENTRE DRILL B 3.15 X 11.2 TOTEM,not a tap
HSS CENTRE DRILL B 4 X 14 TOTEM,not a tap
HSS CENTRE DRILL BS1 TOTEM,not a tap
HSS CENTRE DRILL BS2 TOTEM,not a tap
HSS CENTRE DRILL BS3 TOTEM,not a tap
HSS CENTRE DRILL BS4 TOTEM,not a tap
HSS CENTRE DRILL BS5 TOTEM,not a tap
HSS CENTRE DRILL BS6 TOTEM,not a tap
HSS CENTRE DRILL BS7 TOTEM,not a tap
HSS DRILL 1 TO 13 TOTEM,not a tap
HSS DRILL 1 TOTEM,not a tap
HSS DRILL 1.1 TOTEM,not a tap
HSS DRILL 1.2 TOTEM,not a tap
HSS DRILL 1.3 TOTEM,not a tap
HSS DRILL 1.4 TOTEM,not a tap
HSS DRILL 1.5 TOTEM,not a tap
HSS DRILL 1.6 TOTEM,not a tap
HSS DRILL 1.7 TOTEM,not a tap
HSS DRILL 1.8 TOTEM,not a tap
HSS DRILL 1.9 TOTEM,not a tap
"HSS DRILL 1/2"" (12.7) TOTEM",not a tap
"HSS DRILL 1/4"" (6.35) TOTEM",not a tap
HSS DRILL 10 TOTEM,not a tap
HSS DRILL 10.1 TOTEM,not a tap
HSS DRILL 10.2 TOTEM,not a tap
HSS DRILL 10.3 TOTEM,not a tap
HSS DRILL 10.4 TOTEM,not a tap
HSS DRILL 10.5 TOTEM,not a tap
HSS DRILL 10.6 TOTEM,not a tap
HSS DRILL 10.7 TOTEM,not a tap
